121,오리 부리 이야기 ㅣ 난 책읽기가 좋아  ,"황선애 (지은이), 간장 (그림) ", 비룡소 , 2022년 3월,"11,000원 → 9,900원 (10%할인)"
122,달러구트 꿈 백화점 2 ㅣ 달러구트 꿈 백화점   ,이미예 (지은이) , 팩토리나인 , 2021년 7월,"13,800원 → 12,420원 (10%할인)"
123,설민석의 한국사 대모험 20 ㅣ 설민석의 한국사 대모험 20 ,"설민석, 스토리박스 (지은이), 정현희 (그림), 강석화 (감수) ", 아이휴먼 , 2022년 2월,"12,000원 → 10,800원 (10%할인)"
124,부의 추월차선 (10주년 스페셜 에디션) ,"엠제이 드마코 (지은이), 신소영 (옮긴이) ", 토트 , 2022년 2월,"17,500원 → 15,750원 (10%할인)"
125,달러구트 꿈 백화점 ㅣ 달러구트 꿈 백화점   ,이미예 (지은이) , 팩토리나인 , 2020년 7월,"13,800원 → 12,420원 (10%할인)"
126,하루하루 일기 쓰듯 그리는 사인펜 드로잉  ,수지(허수정) (지은이) , 경향BP , 2019년 11월,"3,600원(82%정가인하) → 3,240원 (10%할인)"
127,진짜 쓰는 실무 엑셀 ㅣ 진짜 쓰는 시리즈  ,오빠두(전진권) (지은이) , 제이펍 , 2022년 2월,"21,000원 → 18,900원 (10%할인)"
128,데일 카네기 자기관리론 ,"데일 카네기 (지은이), 임상훈 (옮긴이) ", 현대지성 , 2021년 1월,"11,500원 → 10,350원 (10%할인)"
129,본격 한중일 세계사 13 ㅣ 본격 한중일 세계사 13 ,굽시니스트 (지은이) , 위즈덤하우스 , 2022년 4월,"14,800원 → 13,320원 (10%할인)"
130,"돈, 뜨겁게 사랑하고 차갑게 다루어라 ㅣ 코스톨라니 투자총서 1  ","앙드레 코스톨라니 (지은이), 한윤진 (옮긴이) ", 미래의창 , 2015년 9월,"12,000원 → 10,800원 (10%할인)"
131,"칵테일, 러브, 좀비 ㅣ 안전가옥 쇼-트 2  ",조예은 (지은이) , 안전가옥 , 2020년 4월,"10,000원 → 9,000원 (10%할인)"
132,시맨틱 에러 포토에세이 ,"왓챠, 래몽래인 (지은이) ", blackD(블랙디) , 2022년 3월,"22,000원 → 19,800원 (10%할인)"
133,배우의 방 ㅣ 자기만의 방  ,정시우 (지은이) , 휴머니스트 , 2022년 4월,"18,000원 → 16,200원 (10%할인)"
134,2022 해커스경찰 조현 경찰학 기출문제집 (경찰공무원) ,조현 (지은이) , 해커스패스 , 2022년 5월,"39,000원 → 35,100원 (10%할인)"
135,H마트에서 울다 ,"미셸 자우너 (지은이), 정혜윤 (옮긴이) ", 문학동네 , 2022년 2월,"16,000원 → 14,400원 (10%할인)"
136,전쟁일기 ,"올가 그레벤니크 (지은이), 정소은 (옮긴이) ", 이야기장수 , 2022년 4월,"12,000원 → 10,800원 (10%할인)"
137,영어 콜로케이션 사전 ,Michihisa Tsukamoto (지은이) , 다락원 , 2016년 10월,"22,000원 → 19,800원 (10%할인)"
138,비밀요원 레너드 11 : 보물섬의 비밀을 밝혀라! ㅣ 비밀요원 레너드 11 ,"박설연 (지은이), 김덕영 (그림) ", 아울북 , 2022년 4월,"12,000원 → 10,800원 (10%할인)"
139,이기적 유전자  ,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 , 2018년 10월,"20,000원 → 18,000원 (10%할인)"
140,우리는 여전히 삶을 사랑하는가  ,"에리히 프롬 (지은이), 라이너 풍크 (엮은이), 장혜경 (옮긴이) ", 김영사 , 2022년 2월,"15,800원 → 14,220원 (10%할인)"
141,룩 백 ,후지모토 타츠키 (지은이) , 학산문화사(만화) , 2022년 3월,"6,000원 → 5,400원 (10%할인)"
142,멘탈을 바꿔야 인생이 바뀐다 ,박세니 (지은이) , 마인드셋 , 2022년 4월,"15,800원 → 14,220원 (10%할인)"
143,2022 신용한 행정학 실전과 가장 유사한 지방직 9급 대비 모의고사 ,"신용한, SK100수험연구소 (지은이) ", 메가스터디교육(공무원) , 2022년 4월,"12,000원 → 10,800원 (10%할인)"
144,여덟 건의 완벽한 살인 ,"피터 스완슨 (지은이), 노진선 (옮긴이) ", 푸른숲 , 2022년 4월,"15,800원 → 14,220원 (10%할인)"
145,이상한 과자 가게 전천당 13 ㅣ 이상한 과자 가게 전천당 13 ,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이) ", 길벗스쿨 , 2022년 1월,"12,000원 → 10,800원 (10%할인)"
146,지리의 힘 ㅣ 지리의 힘 1  ,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2016년 8월,"17,000원 → 15,300원 (10%할인)"
147,괴수 8호 6 (일러스트 카드 2종 + 캐릭터 일러스트 카드 포함 특장판) ,"마츠모토 나오야 (지은이), 유유리 (옮긴이) ", 서울미디어코믹스(서울문화사) , 2022년 4월,"5,500원 → 4,950원 (10%할인)"
148,나는 왜 자꾸 미룰까? ㅣ 나는 왜 시리즈 4 ,"비벌리 K. 베이첼 (지은이), 최설희 (옮긴이) ", 뜨인돌 , 2017년 4월,"12,000원 → 10,800원 (10%할인)"
